,word,lemma,english_translation,beta_code,parsing_abbreviation,chapter_number,chapter_name,title
0,Κλέπται,κλέπτης,"κλέπτης, κλέπτης, κλέπτου, ὁ, thief",*kle/ptai, masculine nominative plural,1,Aesop's Fables,The Cock and the Robbers
1,εἴς,εἰς,"εἰς, εἰς, into, to, for (purpose)",ei)/s,  preposition,1,Aesop's Fables,The Cock and the Robbers
2,τινα,τις,"τις, τις, τι, someone, something; anyone, anything; some, any",tina,"  indefinite pronoun common accusative singular,  indefinite pronoun neuter nominative plural,  indefinite pronoun neuter vocative plural,   indefinite pronoun neuter accusative plural",1,Aesop's Fables,The Cock and the Robbers
3,οἰκίαν,οἰκία,"οἰκία, οἰκίᾱ, οἰκίᾱς, ἡ, house",oi)ki/an,  feminine accusative singular,1,Aesop's Fables,The Cock and the Robbers
4,εἰσελθόντες,εἰσέρχομαι,"εἰσέρχομαι, εἰσέρχομαι, enter (verb)",ei)selqo/ntes,"  aorist active participle masculine nominative plural,  aorist active participle masculine vocative plural",1,Aesop's Fables,The Cock and the Robbers
5,οὐδὲν,οὐδείς,"οὐδείς, οὐδείς, οὐδεμία, οὐδέν, no one, nothing",ou)de\n,"  neuter nominative singular,  neuter vocative singular,   neuter accusative singular",1,Aesop's Fables,The Cock and the Robbers
6,μὲν,μέν,"μέν, μέν, on the one hand..",me\n,  particle,1,Aesop's Fables,The Cock and the Robbers
7,ἄλλο,ἄλλος,"ἄλλος, ἄλλος, ἄλλη, ἄλλον, another, other",a)/llo,"  neuter nominative singular,  neuter vocative singular,   neuter accusative singular",1,Aesop's Fables,The Cock and the Robbers
8,"εὗρον,",εὑρίσκω,"εὑρίσκω, εὑρίσκω, εὑρήσω, ηὗρον, ηὕρηκα, ηὕρημαι, ηὑρέθην, find, discover","eu(=ron,"," aorist active imperative 2nd singular,   aorist active indicative 3rd plural,   aorist active indicative 1st singular",1,Aesop's Fables,The Cock and the Robbers
9,μόνον,μόνος,"μόνος, μόνος, μόνη, μόνον, alone",mo/non,"  masculine accusative singular,   neuter nominative singular,  neuter vocative singular,   neuter accusative singular,   adverb",1,Aesop's Fables,The Cock and the Robbers
10,δὲ,δέ,"δέ, δέ, ...on the other hand",de\,  particle,1,Aesop's Fables,The Cock and the Robbers
11,"ἀλεκτρυόνα,",ἀλεκτρυών,"ἀλεκτρυών, a cock","a)lektruo/na,",  masculine accusative singular,1,Aesop's Fables,The Cock and the Robbers
12,καὶ,καί,"καί, καί, and, also, even",kai\,"  conjunction,   adverb",1,Aesop's Fables,The Cock and the Robbers
13,τοῦτον,οὗτος,"οὗτος, οὗτος, αὕτη, τοῦτο, this, that",tou=ton,  demonstrative pronoun masculine accusative singular,1,Aesop's Fables,The Cock and the Robbers
14,λαβόντες,λαμβάνω,"λαμβάνω, λαμβάνω, λήψομαι, ἔλαβον, εἴληφα, εἴλημμαι, ἐλήφθην, take",labo/ntes,"  aorist active participle masculine nominative plural,  aorist active participle masculine vocative plural",1,Aesop's Fables,The Cock and the Robbers
15,ἀπηλλαγησαν.,ἀπαλλάσσω,"ἀπαλλάσσω, to set free, release, deliver",a)phllaghsan.,  aorist passive indicative 3rd plural,1,Aesop's Fables,The Cock and the Robbers
16,Ὁ,ὁ,"ὁ, ὁ, the [definite article]",*(o,  definite article masculine nominative singular,1,Aesop's Fables,The Cock and the Robbers
17,δὲ,δέ,"δέ, δέ, ...on the other hand",de\,  particle,1,Aesop's Fables,The Cock and the Robbers
18,μέλλων,μέλλω,"μέλλω, μέλλω, μελλήσω, ἐμέλλησα, ΧΧΧ, ΧΧΧ, ΧΧΧ, be about to, be likely to (+ future infin.); delay",me/llwn,"  present active participle masculine vocative singular,   present active participle masculine nominative singular",1,Aesop's Fables,The Cock and the Robbers
19,ὑπ',ὑποτίτθιος,"ὑποτίτθιος, under the breast",u(p',"  masculine accusative singular,  feminine accusative singular,  neuter nominative singular,  neuter vocative singular,  neuter accusative singular",1,Aesop's Fables,The Cock and the Robbers
20,αὐτῶν,αὐτός,"αὐτός, αὐτός, αὐτή, αὐτό, same (adj in attributive position); -self, -selves (in predicate position or alone in nom); him, her, it, them (pronoun in gen, dat, acc)",au)tw=n,"  personal pronoun neuter genitive plural,   personal pronoun feminine genitive plural,   personal pronoun masculine genitive plural,   neuter genitive plural,   masculine genitive plural,   feminine genitive plural",1,Aesop's Fables,The Cock and the Robbers
21,θύεσθαι,θύω,"θύω, θύω, θύσω, ἔθῡσα, τέθυκα, τέθυμαι, ἐτύθην, sacrifice",qu/esqai,  present middle-passive infinitive,1,Aesop's Fables,The Cock and the Robbers
22,ἐδέετο,δέω,"δέω, to bind, tie, fetter",e)de/eto, imperfect middle-passive indicative 3rd singular,1,Aesop's Fables,The Cock and the Robbers
23,ὅπως,ὅπως,"ὅπως, ὅπως, in order that",o(/pws,"  conjunction,   adverb,   adverb",1,Aesop's Fables,The Cock and the Robbers
24,αὐτὸν,αὐτός,"αὐτός, αὐτός, αὐτή, αὐτό, same (adj in attributive position); -self, -selves (in predicate position or alone in nom); him, her, it, them (pronoun in gen, dat, acc)",au)to\n,"  personal pronoun masculine accusative singular,   masculine accusative singular",1,Aesop's Fables,The Cock and the Robbers
