,word,lemma,english_translation,beta_code,parsing_abbreviation,chapter_number,chapter_name,title
0,Καὶ,καί,"καί, καί, and, also, even",*kai\,"  conjunction,   adverb",1,Aesop's Fables,"The cry of ""Wolf"""
1,που,που,"που, που, I suppose; somewhere (qualifies an assertion)",pou,"  particle,   adverb",1,Aesop's Fables,"The cry of ""Wolf"""
2,παιδίον,παιδίον,"παιδίον, παιδίον, child",paidi/on,"  neuter nominative singular,   neuter vocative singular,   neuter accusative singular",1,Aesop's Fables,"The cry of ""Wolf"""
3,ποίμνια,ποίμνιον,"ποίμνιον, a flock (usu. of sheep)",poi/mnia,"  neuter nominative plural,  neuter vocative plural,   neuter accusative plural",1,Aesop's Fables,"The cry of ""Wolf"""
4,νέμον,νέμω,"νέμω, νέμω, distribute, allot, assign (verb)",ne/mon," present active participle neuter nominative singular,  present active participle neuter vocative singular,  present active participle neuter accusative singular,  imperfect active indicative 3rd plural,  imperfect active indicative 1st singular",1,Aesop's Fables,"The cry of ""Wolf"""
5,ἐφ',ἐπί,"ἐπί, ἐπί, on (+ gen); on, pertaining to, on condition that (+ dat); onto, over, against, for (purpose) (+ acc)",e)f',  preposition,1,Aesop's Fables,"The cry of ""Wolf"""
6,ὑψηλοῦ,ὑψηλός,"ὑψηλός, ὑψηλός, high, lofty",u(yhlou=,"  masculine genitive singular,   neuter genitive singular",1,Aesop's Fables,"The cry of ""Wolf"""
7,τόπου,τόπος,"τόπος, τόπος, τόπου, ὁ, place",to/pou,  masculine genitive singular,1,Aesop's Fables,"The cry of ""Wolf"""
8,ἱστάμενον,ἵστημι,"ἵστημι, ἵστημι, στήσω, ἔστησα (trans.) or ἔστην (intrans.), ἕστηκα (intrans.), ἕσταμαι, ἐστάθην, make stand; (mid. or intrans.) stand",i(sta/menon,"  present middle-passive participle masculine accusative singular,  present middle-passive participle neuter nominative singular,  present middle-passive participle neuter vocative singular,  present middle-passive participle neuter accusative singular",1,Aesop's Fables,"The cry of ""Wolf"""
9,πολλάκις,πολλάκις,"πολλάκις, πολλάκις (adv.), often",polla/kis,  adverb,1,Aesop's Fables,"The cry of ""Wolf"""
10,ἀνέκραγε·,ἀνακράζω,"ἀνακράζω, to cry out, lift up the voice",a)ne/krage:,  aorist active indicative 3rd singular,1,Aesop's Fables,"The cry of ""Wolf"""
11,Βοηθεῖτέ,inconclusive,inconclusive,*bohqei=te/,inconclusive,1,Aesop's Fables,"The cry of ""Wolf"""
12,"μοι,",ἐγώ,"ἐγώ, ἐγώ, I","moi,",  personal pronoun dative singular,1,Aesop's Fables,"The cry of ""Wolf"""
13,λύκοι.,λύκος,"λύκος, a wolf",lu/koi.,"  masculine nominative plural,   masculine vocative plural",1,Aesop's Fables,"The cry of ""Wolf"""
14,Οἱ,ὁ,"ὁ, ὁ, the [definite article]",*oi(,  definite article masculine nominative plural,1,Aesop's Fables,"The cry of ""Wolf"""
15,δὲ,δέ,"δέ, δέ, ...on the other hand",de\,  particle,1,Aesop's Fables,"The cry of ""Wolf"""
16,ἀγρότεροι,ἀγρότερος,"ἀγρότερος, wild",a)gro/teroi," masculine nominative plural,  masculine vocative plural",1,Aesop's Fables,"The cry of ""Wolf"""
17,τρέχοντες,τρέχω,"τρέχω, τρέχω, run",tre/xontes,"  present active participle masculine nominative plural,  present active participle masculine vocative plural",1,Aesop's Fables,"The cry of ""Wolf"""
18,ἐν,ἐν,"ἐν, ἐν, in",e)n,"  preposition,   adverb (NCA)",1,Aesop's Fables,"The cry of ""Wolf"""
19,τῇ,ὁ,"ὁ, ὁ, the [definite article]",th=|,"  definite article feminine dative singular,   adverb (ὁ VIII.1)",1,Aesop's Fables,"The cry of ""Wolf"""
20,ποίμνῃ,ποίμνη,"ποίμνη, a flock",poi/mnh|,  feminine dative singular,1,Aesop's Fables,"The cry of ""Wolf"""
21,τοῦτον,οὗτος,"οὗτος, οὗτος, αὕτη, τοῦτο, this, that",tou=ton,  demonstrative pronoun masculine accusative singular,1,Aesop's Fables,"The cry of ""Wolf"""
22,ηὕρισκον,εὑρίσκω,"εὑρίσκω, εὑρίσκω, εὑρήσω, ηὗρον, ηὕρηκα, ηὕρημαι, ηὑρέθην, find, discover",hu(/riskon,"  imperfect active indicative 3rd plural,   imperfect active indicative 1st singular",1,Aesop's Fables,"The cry of ""Wolf"""
23,μηδαμῶς,μηδαμῶς,"μηδαμῶς, μηδαμῶς, not at all, in no way (adverb)",mhdamw=s,  adverb,1,Aesop's Fables,"The cry of ""Wolf"""
24,ἀληθεύοντα.,ἀληθεύω,"ἀληθεύω, to speak truth",a)lhqeu/onta.," present active participle neuter nominative plural,  present active participle neuter vocative plural,  present active participle neuter accusative plural,  present active participle masculine accusative singular",1,Aesop's Fables,"The cry of ""Wolf"""
25,Τοῦτο,οὗτος,"οὗτος, οὗτος, αὕτη, τοῦτο, this, that",*tou=to,"  demonstrative pronoun neuter nominative singular,  demonstrative pronoun neuter vocative singular,   demonstrative pronoun neuter accusative singular",1,Aesop's Fables,"The cry of ""Wolf"""
26,δὲ,δέ,"δέ, δέ, ...on the other hand",de\,  particle,1,Aesop's Fables,"The cry of ""Wolf"""
27,πολλάκις,πολλάκις,"πολλάκις, πολλάκις (adv.), often",polla/kis,  adverb,1,Aesop's Fables,"The cry of ""Wolf"""
28,τοῦ,ὁ,"ὁ, ὁ, the [definite article]",tou=,"  definite article masculine genitive singular,   definite article neuter genitive singular",1,Aesop's Fables,"The cry of ""Wolf"""
29,παιδὸς,παῖς,"παῖς, παῖς, παιδός, ὁ or ἡ, child",paido\s,  common genitive singular,1,Aesop's Fables,"The cry of ""Wolf"""
30,"πραξαμένου,",πράσσω,"πράσσω, πράττω, πράξω, ἔπραξα, πέπρᾱχα (trans.) or πέπρᾱγα (intrans.), πέπρᾱγμαι, ἐπράχθην, do, fare","pracame/nou,",  aorist middle participle masculine accusative plural,1,Aesop's Fables,"The cry of ""Wolf"""
31,οἱ,οὗ,"οὗ, (adv.) where",oi(,  personal pronoun dative singular,1,Aesop's Fables,"The cry of ""Wolf"""
32,τοιοῦτοι,τοιοῦτος,"τοιοῦτος, τοιοῦτος, τοιαύτη, τοιοῦτο / τοιοῦτον, of this/that sort, such (as this)",toiou=toi,"  demonstrative pronoun masculine nominative plural,  demonstrative pronoun masculine vocative plural",1,Aesop's Fables,"The cry of ""Wolf"""
33,συνήρχοντο,συνάρχω,"συνάρχω, to rule jointly with",sunh/rxonto, imperfect middle-passive indicative 3rd plural,1,Aesop's Fables,"The cry of ""Wolf"""
34,καὶ,καί,"καί, καί, and, also, even",kai\,"  conjunction,   adverb",1,Aesop's Fables,"The cry of ""Wolf"""
35,ἀεὶ,ἀεί,"ἀεί, ἀεί, always",a)ei\,  adverb,1,Aesop's Fables,"The cry of ""Wolf"""
36,ψεῦδος,ψεῦδος,"ψεῦδος, ψεῦδος, ψεύδους, τό, falsehood, lie",yeu=dos,"  neuter nominative singular,  neuter vocative singular,   neuter accusative singular",1,Aesop's Fables,"The cry of ""Wolf"""
37,εὑρίσκοντες,εὑρίσκω,"εὑρίσκω, εὑρίσκω, εὑρήσω, ηὗρον, ηὕρηκα, ηὕρημαι, ηὑρέθην, find, discover",eu(ri/skontes,"  present active participle masculine nominative plural,  present active participle masculine vocative plural",1,Aesop's Fables,"The cry of ""Wolf"""
38,ἀπήρχοντο.,ἀπάρχομαι,"ἀπάρχομαι, to make a beginning",a)ph/rxonto., imperfect middle indicative 3rd plural,1,Aesop's Fables,"The cry of ""Wolf"""
39,Μετὰ,μετά,"μετά, μετά, with (+ gen); after (+ acc)",*meta\,  preposition,1,Aesop's Fables,"The cry of ""Wolf"""
40,δὲ,δέ,"δέ, δέ, ...on the other hand",de\,  particle,1,Aesop's Fables,"The cry of ""Wolf"""
41,ταῦτα,οὗτος,"οὗτος, οὗτος, αὕτη, τοῦτο, this, that",tau=ta,"  demonstrative pronoun neuter nominative plural,  demonstrative pronoun neuter vocative plural,   demonstrative pronoun neuter accusative plural",1,Aesop's Fables,"The cry of ""Wolf"""
42,τοῦ,ὁ,"ὁ, ὁ, the [definite article]",tou=,"  definite article masculine genitive singular,   definite article neuter genitive singular",1,Aesop's Fables,"The cry of ""Wolf"""
43,λύκου,λύκος,"λύκος, a wolf",lu/kou,  masculine genitive singular,1,Aesop's Fables,"The cry of ""Wolf"""
44,"προσελθόντος,",προσέρχομαι,"προσέρχομαι, προσέρχομαι, advance, go / come towards (verb)","proselqo/ntos,","  aorist active participle masculine genitive singular,   aorist active participle neuter genitive singular",1,Aesop's Fables,"The cry of ""Wolf"""
45,ὁ,ὁ,"ὁ, ὁ, the [definite article]",o(,  definite article masculine nominative singular,1,Aesop's Fables,"The cry of ""Wolf"""
46,παῖς,πᾶς,"πᾶς, πᾶς, πᾶσα, πᾶν, all, every, whole",pai=s," masculine nominative singular (NCA),  masculine vocative singular (NCA)",1,Aesop's Fables,"The cry of ""Wolf"""
47,ἐβόα·,βοάω,"βοάω, βοάω, shout (for) (verb)",e)bo/a:,  imperfect active indicative 3rd singular,1,Aesop's Fables,"The cry of ""Wolf"""
48,Ὁ,ὁ,"ὁ, ὁ, the [definite article]",*(o,  definite article masculine nominative singular,1,Aesop's Fables,"The cry of ""Wolf"""
49,"λύκος,",λύκος,"λύκος, a wolf","lu/kos,",  masculine nominative singular,1,Aesop's Fables,"The cry of ""Wolf"""
50,δεῦτε.,δεῦρο,"δεῦρο, δεῦρο, here, over here (adverb)",deu=te.,  adverb,1,Aesop's Fables,"The cry of ""Wolf"""
51,Ἐπεὶ,ἐπεί,"ἐπεί, ἐπεί, after, when, since",*)epei\,  conjunction,1,Aesop's Fables,"The cry of ""Wolf"""
52,δὲ,δέ,"δέ, δέ, ...on the other hand",de\,  particle,1,Aesop's Fables,"The cry of ""Wolf"""
53,οὐδεὶς,οὐδείς,"οὐδείς, οὐδείς, οὐδεμία, οὐδέν, no one, nothing",ou)dei\s,"  masculine nominative singular,  masculine vocative singular",1,Aesop's Fables,"The cry of ""Wolf"""
54,ἐπίστευεν,πιστεύω,"πιστεύω, πιστεύω, πιστεύσω, ἐπίστευσα, πεπίστευκα, πεπίστευμαι, ἐπιστεύθην, trust (+ dat)",e)pi/steuen,  imperfect active indicative 3rd singular,1,Aesop's Fables,"The cry of ""Wolf"""
55,οὐδ',οὐδέ,"οὐδέ, οὐδέ, and not; not even",ou)d',"  conjunction,   adverb",1,Aesop's Fables,"The cry of ""Wolf"""
56,ἀπήρχετο,ἀπάρχομαι,"ἀπάρχομαι, to make a beginning",a)ph/rxeto, imperfect middle indicative 3rd plural,1,Aesop's Fables,"The cry of ""Wolf"""
57,"βοηθῆσαι,",βοηθέω,"βοηθέω, βοηθέω, come to the aid of (+ dat.); come to the rescue","bohqh=sai,",  aorist active infinitive,1,Aesop's Fables,"The cry of ""Wolf"""
58,ὁ,ὁ,"ὁ, ὁ, the [definite article]",o(,  definite article masculine nominative singular,1,Aesop's Fables,"The cry of ""Wolf"""
59,λύκος,λύκος,"λύκος, a wolf",lu/kos,  masculine nominative singular,1,Aesop's Fables,"The cry of ""Wolf"""
