,word,lemma,english_translation,beta_code,parsing_abbreviation,chapter_number,chapter_name,title
0,Υἱὸν,υἱός,"υἱός, υἱός, son",*ui(o\n,  masculine accusative singular,1,Aesop's Fables,The Father and the Son
1,μονογενῆ,μονογενής,"μονογενής, only, single (child)",monogenh=," neuter nominative plural,  neuter vocative plural,  neuter accusative plural,  masculine accusative singular,   feminine accusative singular",1,Aesop's Fables,The Father and the Son
2,δειλὸς,δειλός,"δειλός, δειλός, cowardly; miserable, wretched",deilo\s,  masculine nominative singular,1,Aesop's Fables,The Father and the Son
3,εἶχε,ἔχω,"ἔχω, ἔχω, ἕξω or σχήσω, ἔσχον, ἔσχηκα, -ἔσχημαι, -, have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)",ei)=xe,  imperfect active indicative 3rd singular,1,Aesop's Fables,The Father and the Son
4,πρεσβύτης,πρεσβύτης,"πρεσβύτης, age",presbu/ths,  masculine nominative singular,1,Aesop's Fables,The Father and the Son
5,γενναῖον,γενναῖος,"γενναῖος, γενναῖος α ον, noble, fine (adjective)",gennai=on,"  masculine accusative singular,  feminine accusative singular,   neuter nominative singular,  neuter vocative singular,   neuter accusative singular",1,Aesop's Fables,The Father and the Son
6,ἄλλως,ἄλλος,"ἄλλος, ἄλλος, ἄλλη, ἄλλον, another, other",a)/llws,"  masculine accusative plural (NCA),   adverb (cp ἄλλως)",1,Aesop's Fables,The Father and the Son
7,καὶ,καί,"καί, καί, and, also, even",kai\,"  conjunction,   adverb",1,Aesop's Fables,The Father and the Son
8,θέλοντα,ἐθέλω,"ἐθέλω, ἐθέλω, ἐθελήσω, ἠθέλησα, ἠθέληκα, ΧΧΧ, ΧΧΧ, be willing, wish",qe/lonta," present active participle neuter nominative plural,  present active participle neuter vocative plural,  present active participle neuter accusative plural,   present active participle masculine accusative singular",1,Aesop's Fables,The Father and the Son
9,ηρεύειν.,ἐρεύθω,"ἐρεύθω, to make red, stain red",hreu/ein., imperfect middle-passive indicative 3rd singular,1,Aesop's Fables,The Father and the Son
10,τοῦτον,οὗτος,"οὗτος, οὗτος, αὕτη, τοῦτο, this, that",tou=ton,  demonstrative pronoun masculine accusative singular,1,Aesop's Fables,The Father and the Son
11,καθ',καθά,"καθά, according as, just as",kaq', adverb,1,Aesop's Fables,The Father and the Son
12,ὕπνους,ὕπνος,"ὕπνος, ὕπνος, sleep",u(/pnous,  masculine accusative plural,1,Aesop's Fables,The Father and the Son
13,ὑπὸ,ὑπό,"ὑπό, ὑπό, by (personal agent), under (+ gen); under, under the power of (+ dat); under (with motion), toward (of time) (+ acc)",u(po\,  preposition,1,Aesop's Fables,The Father and the Son
14,λέοντος,λέων,"λέων, λέων, lion",le/ontos,  masculine genitive singular,1,Aesop's Fables,The Father and the Son
15,ᾠήθη,οἴομαι,"οἴομαι, οἴομαι/οἶμαι, think, suppose, believe",w)|h/qh,  aorist passive indicative 3rd singular,1,Aesop's Fables,The Father and the Son
16,θανόντα,ἀποθνῄσκω,"ἀποθνῄσκω, ἀποθνῄσκω, ἀποθανοῦμαι, ἀπέθανον, τέθνηκα, ΧΧΧ, ΧΧΧ, die",qano/nta," aorist active participle neuter nominative plural (cp θνῄσκω),  aorist active participle neuter vocative plural (cp θνῄσκω),  aorist active participle neuter accusative plural (cp θνῄσκω),   aorist active participle masculine accusative singular (cp θνῄσκω)",1,Aesop's Fables,The Father and the Son
