,word,lemma,english_translation,beta_code,parsing_abbreviation,chapter_number,chapter_name,title
0,Ἀλώπηξ,Ἀλώπεκος,Inconclusive,*)alw/phc, Proper-name noun masculine accusative singular,1,Aesop's Fables,The Fox and the Goat
1,πεσοῦσα,πίπτω,"πίπτω, πί̄πτω, πεσοῦμαι, ἔπεσον, πέπτωκα, -, -, fall",pesou=sa,"  aorist active participle feminine nominative singular,  aorist active participle feminine vocative singular",1,Aesop's Fables,The Fox and the Goat
2,εἰς,εἰς,"εἰς, εἰς, into, to, for (purpose)",ei)s,  preposition,1,Aesop's Fables,The Fox and the Goat
3,φρέαρ,φρέαρ,"φρέαρ, a well",fre/ar," neuter nominative singular,  neuter vocative singular,   neuter accusative singular",1,Aesop's Fables,The Fox and the Goat
4,ὑπ',ὑποτίτθιος,"ὑποτίτθιος, under the breast",u(p',"  masculine accusative singular,  feminine accusative singular,  neuter nominative singular,  neuter vocative singular,  neuter accusative singular",1,Aesop's Fables,The Fox and the Goat
5,ἀνάγκης,ἀνάγκη,"ἀνάγκη, ἀνάγκη, force, constraint, necessity",a)na/gkhs,  feminine genitive singular,1,Aesop's Fables,The Fox and the Goat
6,ἔμεινε.,μένω,"μένω, μένω, μενέω, ἔμεινα, μεμένηκα, ΧΧΧ, ΧΧΧ, remain, stay",e)/meine.,  aorist active indicative 3rd singular,1,Aesop's Fables,The Fox and the Goat
7,Τράγος,Τράγος,"Τράγος, Tragus river (Arkadia)",*tra/gos,  Proper-name noun masculine accusative singular,1,Aesop's Fables,The Fox and the Goat
8,δὲ,δέ,"δέ, δέ, ...on the other hand",de\,  particle,1,Aesop's Fables,The Fox and the Goat
9,δίψει,δίψος,"δίψος, thirst",di/yei," neuter nominative dual,  neuter vocative dual,  neuter accusative dual,   neuter dative singular",1,Aesop's Fables,The Fox and the Goat
10,συνεχόμενος,συνέχω,"συνέχω, to hold or keep together, secure; mid. to be afflicted",sunexo/menos,  present middle-passive participle masculine nominative singular,1,Aesop's Fables,The Fox and the Goat
11,ἐγένετο,γίγνομαι,"γίγνομαι, γίγνομαι, γενήσομαι, ἐγενόμην, γέγονα, γεγένημαι, ΧΧΧ, be born; become; happen",e)ge/neto,  aorist middle indicative 3rd singular,1,Aesop's Fables,The Fox and the Goat
12,κατὰ,κατά,"κατά, κατά, down from, under, against (+ gen); according to, throughout (+ acc.)",kata\,"  preposition,   adverb",1,Aesop's Fables,The Fox and the Goat
13,τὸ,ὁ,"ὁ, ὁ, the [definite article]",to\,"  definite article neuter nominative singular,   definite article neuter accusative singular",1,Aesop's Fables,The Fox and the Goat
14,αὐτὸ,αὐτός,"αὐτός, αὐτός, αὐτή, αὐτό, same (adj in attributive position); -self, -selves (in predicate position or alone in nom); him, her, it, them (pronoun in gen, dat, acc)",au)to\,"  personal pronoun neuter nominative singular,  personal pronoun neuter vocative singular,   personal pronoun neuter accusative singular,   neuter accusative singular,   neuter nominative singular",1,Aesop's Fables,The Fox and the Goat
15,φρέαρ·,φρέαρ,"φρέαρ, a well",fre/ar:," neuter nominative singular,  neuter vocative singular,   neuter accusative singular",1,Aesop's Fables,The Fox and the Goat
16,θεασάμενος,θεάομαι,"θεάομαι, θεάομαι, observe, watch (verb); θεάομαι, watch, gaze at (verb) (3b (= 2dG))",qeasa/menos,  aorist middle participle masculine nominative singular,1,Aesop's Fables,The Fox and the Goat
17,δὲ,δέ,"δέ, δέ, ...on the other hand",de\,  particle,1,Aesop's Fables,The Fox and the Goat
18,αὐτὴν,αὐτός,"αὐτός, αὐτός, αὐτή, αὐτό, same (adj in attributive position); -self, -selves (in predicate position or alone in nom); him, her, it, them (pronoun in gen, dat, acc)",au)th\n,"  personal pronoun feminine accusative singular,   feminine accusative singular",1,Aesop's Fables,The Fox and the Goat
19,ἐπυνθάνετο,πυνθάνομαι,"πυνθάνομαι, πυνθάνομαι, πεύσομαι, ἐπυθόμην, ΧΧΧ, πέπυσμαι, ΧΧΧ, inquire, learn by inquiry",e)punqa/neto,  imperfect middle indicative 3rd singular,1,Aesop's Fables,The Fox and the Goat
20,εἰ,εἰ,"εἰ, εἰ, if",ei),"  conjunction,  adverb (w/ imperatives),   particle (w/ wishes)",1,Aesop's Fables,The Fox and the Goat
21,καλόν,καλός,"καλός, καλός, καλή, καλόν, beautiful, noble, good",kalo/n,"  masculine accusative singular,   neuter nominative singular,  neuter vocative singular,   neuter accusative singular",1,Aesop's Fables,The Fox and the Goat
22,ἐστι,εἰμί,"εἰμί, εἰμί, ἔσομαι, ΧΧΧ, ΧΧΧ, ΧΧΧ, ΧΧΧ, be",e)sti,  present active indicative 3rd singular,1,Aesop's Fables,The Fox and the Goat
23,τὸ,ὁ,"ὁ, ὁ, the [definite article]",to\,"  definite article neuter nominative singular,   definite article neuter accusative singular",1,Aesop's Fables,The Fox and the Goat
24,ὕδωρ·,ὕδωρ,"ὕδωρ, ὕδωρ, ὕδατος, τό, water",u(/dwr:,"  neuter nominative singular,   neuter vocative singular,   neuter accusative singular",1,Aesop's Fables,The Fox and the Goat
25,ἡ,ὁ,"ὁ, ὁ, the [definite article]",h(,  definite article feminine nominative singular,1,Aesop's Fables,The Fox and the Goat
