,word,lemma,english_translation,beta_code,parsing_abbreviation,chapter_number,chapter_name,title
0,Λέων,Λέων,"Λέων, Leon",*le/wn,  Proper-name noun masculine nominative singular,1,Aesop's Fables,The Lion and the Dolphin
1,ἐπί,ἐπί,"ἐπί, ἐπί, on (+ gen); on, pertaining to, on condition that (+ dat); onto, over, against, for (purpose) (+ acc)",e)pi/,"  preposition,  adverb",1,Aesop's Fables,The Lion and the Dolphin
2,τινι,τις,"τις, τις, τι, someone, something; anyone, anything; some, any",tini,"  indefinite pronoun common dative singular,   indefinite pronoun neuter dative singular",1,Aesop's Fables,The Lion and the Dolphin
3,αἰγιαλῷ,αἰγιαλός,"αἰγιαλός, the sea-shore, beach, strand",ai)gialw=|,  masculine dative singular,1,Aesop's Fables,The Lion and the Dolphin
4,"πλαζόμενος,",πλάζω,"πλάζω, to make to wander","plazo/menos,",  present middle-passive participle masculine nominative singular,1,Aesop's Fables,The Lion and the Dolphin
5,ὡς,ὡς,"ὡς, ὡς, in order that",w(s,"  conjunction,   adverb,   adverb,   preposition",1,Aesop's Fables,The Lion and the Dolphin
6,ἐθεάσατο,θεάομαι,"θεάομαι, θεάομαι, observe, watch (verb); θεάομαι, watch, gaze at (verb) (3b (= 2dG))",e)qea/sato,  aorist middle indicative 3rd singular,1,Aesop's Fables,The Lion and the Dolphin
7,δελφῖνα,δελφίς,"δελφίς, the dolphin",delfi=na,  masculine accusative singular,1,Aesop's Fables,The Lion and the Dolphin
8,"παρακύψαντα,",παρακύπτω,"παρακύπτω, to stoop sideways","paraku/yanta,"," aorist active participle neuter accusative plural (Luc22),  aorist active participle neuter nominative plural (Luc22),  aorist active participle neuter vocative plural (Luc22),  aorist active participle masculine accusative singular (Luc22)",1,Aesop's Fables,The Lion and the Dolphin
9,[ὡς],ὡς,"ὡς, ὡς, in order that",[w(s],"  conjunction,   adverb,   adverb,   preposition",1,Aesop's Fables,The Lion and the Dolphin
10,ἐπὶ,ἐπί,"ἐπί, ἐπί, on (+ gen); on, pertaining to, on condition that (+ dat); onto, over, against, for (purpose) (+ acc)",e)pi\,"  preposition,   adverb (e.g., tmesis)",1,Aesop's Fables,The Lion and the Dolphin
11,συμμαχίαν,συμμαχία,"συμμαχία, an alliance offensive and defensive",summaxi/an,  feminine accusative singular,1,Aesop's Fables,The Lion and the Dolphin
12,τοῦτον,οὗτος,"οὗτος, οὗτος, αὕτη, τοῦτο, this, that",tou=ton,  demonstrative pronoun masculine accusative singular,1,Aesop's Fables,The Lion and the Dolphin
13,παρεκάλεσε,παρακαλέω,"παρακαλέω, to call to",pareka/lese,  aorist active indicative 3rd singular,1,Aesop's Fables,The Lion and the Dolphin
14,λέγων,λέγω,"λέγω, λέγω, ἐρέω or λέξω, εἶπον or ἔλεξα, εἴρηκα, εἴρημαι or λέλεγμαι, ἐλέχθην or ἐρρήθην, say, speak",le/gwn,"  present active participle masculine vocative singular,   present active participle masculine nominative singular",1,Aesop's Fables,The Lion and the Dolphin
15,ὅτι,ὅστις,"ὅστις, ὅστις, ἥτις, ὅτι, (indefinite relative) whoever, whatever; (indirect interrogative) who?, what?",o(/ti,"  relative pronoun neuter nominative singular,   relative pronoun neuter accusative singular,   interrogative pronoun neuter nominative singular,   interrogative pronoun neuter accusative singular",1,Aesop's Fables,The Lion and the Dolphin
16,ἁρμόττει,ἁρμόζω,"ἁρμόζω, to fit together, join",a(rmo/ttei," present middle-passive indicative 2nd singular,   present active indicative 3rd singular",1,Aesop's Fables,The Lion and the Dolphin
17,μάλιστα,μάλιστα,"μάλιστα, μάλιστα (adv.), most",ma/lista,  adverb superlative (cp μάλα),1,Aesop's Fables,The Lion and the Dolphin
18,φίλους,φίλος,"φίλος, φίλος, φίλου, ὁ, friend",fi/lous,  masculine accusative plural,1,Aesop's Fables,The Lion and the Dolphin
19,αὐτοὺς,αὐτός,"αὐτός, αὐτός, αὐτή, αὐτό, same (adj in attributive position); -self, -selves (in predicate position or alone in nom); him, her, it, them (pronoun in gen, dat, acc)",au)tou\s,"  personal pronoun masculine accusative plural,   masculine accusative plural",1,Aesop's Fables,The Lion and the Dolphin
20,καὶ,καί,"καί, καί, and, also, even",kai\,"  conjunction,   adverb",1,Aesop's Fables,The Lion and the Dolphin
21,βοηθοὺς,βοηθός,"βοηθός, assisting, auxiliary",bohqou\s,"  masculine accusative plural (cp βοηθόος),   feminine accusative plural (cp βοηθόος)",1,Aesop's Fables,The Lion and the Dolphin
22,γενέσθαι·,γίγνομαι,"γίγνομαι, γίγνομαι, γενήσομαι, ἐγενόμην, γέγονα, γεγένημαι, ΧΧΧ, be born; become; happen",gene/sqai:,  aorist middle infinitive,1,Aesop's Fables,The Lion and the Dolphin
23,ὁ,ὁ,"ὁ, ὁ, the [definite article]",o(,  definite article masculine nominative singular,1,Aesop's Fables,The Lion and the Dolphin
24,μὲν,μέν,"μέν, μέν, on the one hand..",me\n,  particle,1,Aesop's Fables,The Lion and the Dolphin
