,word,lemma,english_translation,beta_code,parsing_abbreviation,chapter_number,chapter_name,title
0,Ἔθους,ἔθος,"ἔθος, ἔθος, τό, manner, habit (noun)",*)/eqous,  neuter genitive singular,1,Aesop's Fables,The Monkey and the Dolphin
1,ὄντος,εἰμί,"εἰμί, εἰμί, ἔσομαι, ΧΧΧ, ΧΧΧ, ΧΧΧ, ΧΧΧ, be",o)/ntos,"  present active participle masculine genitive singular,   present active participle neuter genitive singular",1,Aesop's Fables,The Monkey and the Dolphin
2,τοῖς,ὁ,"ὁ, ὁ, the [definite article]",toi=s,"  definite article masculine dative plural,   definite article neuter dative plural",1,Aesop's Fables,The Monkey and the Dolphin
3,πλέουσι,πλέω,"πλέω, πλέω, sail, go by sea",ple/ousi,"  present active participle masculine dative plural,  present active participle neuter dative plural,   present active indicative 3rd plural",1,Aesop's Fables,The Monkey and the Dolphin
4,Μελιταῖα,Μελιταῖος,"Μελιταῖος, of or from Melita (Malta)",*melitai=a," proper-name adjective neuter nominative plural,   proper-name adjective neuter accusative plural",1,Aesop's Fables,The Monkey and the Dolphin
5,κυνίδια,κυνίδιον,"κυνίδιον, a little dog, whelp, puppy",kuni/dia,"  neuter nominative plural,  neuter vocative plural,  neuter accusative plural",1,Aesop's Fables,The Monkey and the Dolphin
6,καὶ,καί,"καί, καί, and, also, even",kai\,"  conjunction,   adverb",1,Aesop's Fables,The Monkey and the Dolphin
7,πιθήκους,πίθηκος,"πίθηκος, an ape, monkey",piqh/kous,  masculine accusative plural,1,Aesop's Fables,The Monkey and the Dolphin
8,ἐπάγεσθαι,ἐπάγω,"ἐπάγω, to bring on",e)pa/gesqai,  present middle-passive infinitive,1,Aesop's Fables,The Monkey and the Dolphin
9,πρὸς,πρός,"πρός, πρός, in the eyes of, in the name of (+ gen); near, in addition to (+ dat); toward (+ acc)",pro\s,"  preposition,   adverb",1,Aesop's Fables,The Monkey and the Dolphin
10,παραμυθίαν,παραμυθία,"παραμυθία, encouragement, exhortation, persuasion",paramuqi/an,  feminine accusative singular,1,Aesop's Fables,The Monkey and the Dolphin
11,τοῦ,ὁ,"ὁ, ὁ, the [definite article]",tou=,"  definite article masculine genitive singular,   definite article neuter genitive singular",1,Aesop's Fables,The Monkey and the Dolphin
12,"πλοῦ,",πέλω,"πέλω, to be, become; Hom. be in motion","plou=,", imperfect middle-passive indicative 2nd singular,1,Aesop's Fables,The Monkey and the Dolphin
13,πλέων,πλέω,"πλέω, πλέω, sail, go by sea",ple/wn," present active participle masculine vocative singular,   present active participle masculine nominative singular",1,Aesop's Fables,The Monkey and the Dolphin
14,τις,τις,"τις, τις, τι, someone, something; anyone, anything; some, any",tis,  indefinite pronoun common nominative singular,1,Aesop's Fables,The Monkey and the Dolphin
15,εἶχε,ἔχω,"ἔχω, ἔχω, ἕξω or σχήσω, ἔσχον, ἔσχηκα, -ἔσχημαι, -, have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)",ei)=xe,  imperfect active indicative 3rd singular,1,Aesop's Fables,The Monkey and the Dolphin
16,σὺν,σύν,"σύν, σύν, with",su\n,"  preposition,   adverb",1,Aesop's Fables,The Monkey and the Dolphin
