,word,lemma,english_translation,beta_code,parsing_abbreviation,chapter_number,chapter_name,title
0,Ζεὺς,Ζεύς,"Ζεύς, Ζεύς, Διός, ὁ (voc. Ζεῦ), Zeus",*zeu\s,  Proper-name noun masculine nominative singular,1,Aesop's Fables,The Tortoise and its Home
1,γαμῶν,γαμέω,"γαμέω, γαμέω, (act.) take as wife, marry a woman; (mid.) (of male relative of bride) give in marriage, (of bride) give self in marriage, marry a man",gamw=n," future active participle masculine nominative singular,   present active participle masculine nominative singular,  future active participle masculine vocative singular,  present active participle masculine vocative singular",1,Aesop's Fables,The Tortoise and its Home
2,πάντα,πᾶς,"πᾶς, πᾶς, πᾶσα, πᾶν, all, every, whole",pa/nta,"  masculine accusative singular,   neuter nominative plural,  neuter vocative plural,   neuter accusative plural",1,Aesop's Fables,The Tortoise and its Home
3,τὰ,ὁ,"ὁ, ὁ, the [definite article]",ta\,"  definite article neuter nominative plural,   definite article neuter accusative plural,  definite article feminine nominative dual,  definite article feminine accusative dual",1,Aesop's Fables,The Tortoise and its Home
4,ζῷα,ζῷον,"ζῷον, ζῷον, ζῴου, τό, animal",zw=|a,"  neuter nominative plural,  neuter vocative plural,   neuter accusative plural",1,Aesop's Fables,The Tortoise and its Home
5,εἱστία.,ἑστιάω,"ἑστιάω, to receive at one’s hearth",ei(sti/a.,  imperfect active indicative 3rd singular,1,Aesop's Fables,The Tortoise and its Home
6,Μόνης,μόνος,"μόνος, μόνος, μόνη, μόνον, alone",*mo/nhs, feminine nominative singular,1,Aesop's Fables,The Tortoise and its Home
7,δὲ,δέ,"δέ, δέ, ...on the other hand",de\,  particle,1,Aesop's Fables,The Tortoise and its Home
8,χελώνης,χελώνη,"χελώνη, a tortoise",xelw/nhs,  feminine genitive singular,1,Aesop's Fables,The Tortoise and its Home
9,"ὑστερησάσης,",ὑστερέω,"ὑστερέω, to be behind, come late","u(sterhsa/shs,"," aorist active participle masculine genitive plural,  aorist active participle neuter genitive plural,  aorist active imperative 3rd plural",1,Aesop's Fables,The Tortoise and its Home
10,διαπορῶν,διαπορέω,"διαπορέω, to be quite at a loss",diaporw=n," present active participle masculine nominative singular,  present active participle masculine vocative singular",1,Aesop's Fables,The Tortoise and its Home
11,τὴν,ὁ,"ὁ, ὁ, the [definite article]",th\n,  definite article feminine accusative singular,1,Aesop's Fables,The Tortoise and its Home
12,"αἰτίαν,",αἴτιος,"αἴτιος, αἴτιος, αἰτίᾱ, αἴτιον, responsible (for), guilty (of) (+ gen)","ai)ti/an,",  feminine accusative singular,1,Aesop's Fables,The Tortoise and its Home
13,τῇ,ὁ,"ὁ, ὁ, the [definite article]",th=|,"  definite article feminine dative singular,   adverb (ὁ VIII.1)",1,Aesop's Fables,The Tortoise and its Home
