Count,Word,Max. Freq.,Min. Freq.,This Word,Total,Key Term Score,Definition,Lexicon Entries
,ὁ,17.598,4.581,"5849,85","5849,85","0,0772",the following,"LSJ, Middle Liddell, Slater, Autenrieth"
,δέ,2.538,2.538,2538,"8387,85","0,0111",but,"LSJ, Middle Liddell, Slater, Autenrieth"
,εἰμί,22.990,1.341,"2489,89","10877,74","0,1122",sum,"LSJ, Middle Liddell, Slater, Autenrieth"
,οὗτος,1.557,1.411,"1447,5","12325,24","0,0091",this,"LSJ, Middle Liddell, Slater, Autenrieth"
,φημί,1.591,1.373,"1399,28","13724,52","0,0222","Spir. Prooem., Eratosth.Prooem.","LSJ, Middle Liddell, Autenrieth"
,αὐτός,1.524,1.282,"1342,5","15067,02","0,0074",self,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἐγώ,1.888,1.214,"1333,14","16400,16","0,0215","I at least, for my part, indeed, for myself","LSJ, Middle Liddell, Slater, Autenrieth"
,καί,20.884,0,"1305,25","17705,41","0,1019",and now,LSJ
,καί,20.884,0,"1305,25","19010,66","0,1019","and indeed, and further",LSJ
10,καί,20.884,0,"1305,25","20315,91","0,1019",and,"LSJ, Autenrieth"
,καί,20.884,0,"1305,25","21621,16","0,1019",and so,"LSJ, Middle Liddell, Slater"
,τίς,10.957,0,"1076,43","22697,6","0,0535",who? which?,"Middle Liddell, Slater, Autenrieth"
,μέν,1.014,1.014,1014,"23711,6","0,0054","indeed, of a truth","LSJ, Middle Liddell, Slater, Autenrieth"
,ὅς,10.113,0,"998,58","24710,18","0,0493","yas, yā, yad,","LSJ, Slater, Autenrieth"
,ὅς,10.113,0,"998,58","25708,76","0,0493","his, her,","LSJ, Middle Liddell, Slater, Autenrieth"
,σύ,3.679,117,"967,9","26676,66","0,0271",thou,"LSJ, Slater, Autenrieth"
,γε,764,764,764,"27440,66","0,0134","at least, at any rate","LSJ, Middle Liddell, Slater"
,τε,2.990,0,"747,5","28188,16","0,0371",both . . and,"LSJ, Middle Liddell, Slater"
,τις,9.605,0,"738,43","28926,6","0,0516","anyone, anything",Slater
20,τις,9.605,0,"738,43","29665,03","0,0516","any one, any thing","LSJ, Middle Liddell"
,γάρ,735,735,735,"30400,03","0,0043",for,"LSJ, Middle Liddell, Slater, Autenrieth"
,οὖν,690,578,606,"31006,03","0,0075","certainly, in fact","LSJ, Middle Liddell, Slater, Autenrieth"
,ἄλλος,4.747,0,"586,08","31592,11","0,0279",y,"LSJ, Middle Liddell, Autenrieth"
,ἄλλος,4.747,0,"586,08","32178,2","0,0279","other, another",Slater
,ἐάν,7.582,12,"497,24","32675,44","0,0483","if haply, if","LSJ, Middle Liddell"
,τοιοῦτος,493,493,493,"33168,44","0,0134","such as this,","LSJ, Middle Liddell, Slater, Autenrieth"
,γίγνομαι,491,445,"456,5","33624,94","0,0039",come into a new state of being,"LSJ, Middle Liddell, Autenrieth"
,περί,452,452,452,"34076,94","0,0054","round about, all round","LSJ, Middle Liddell, Slater, Autenrieth"
,πρός,657,445,"446,21","34523,15","0,0048","on the side of, in the direction of,","LSJ, Middle Liddell, Slater, Autenrieth"
30,πολύς,534,403,"423,67","34946,82","0,0045","many,","LSJ, Middle Liddell, Slater, Autenrieth"
,εἰς,4.206,0,"397,48","35344,29","0,0205",into,"LSJ, Middle Liddell, Slater, Autenrieth"
,οὕτως,384,384,384,"35728,29","0,0052",in this way,"LSJ, Middle Liddell"
,ἑαυτοῦ,388,358,"365,5","36093,79","0,0085",Stadtrecht von Gortyn,"LSJ, Middle Liddell"
,πόλις,638,251,"335,67","36429,46","0,0188","city,","LSJ, Middle Liddell, Slater, Autenrieth"
,ἐν,2.788,6,"314,48","36743,94","0,0164","in, into.","LSJ, Middle Liddell, Slater, Autenrieth"
,ἠμί,12.925,0,"283,97","37027,91","0,0758",say,"LSJ, Middle Liddell, Autenrieth"
,ἀλλά,3.265,0,"280,33","37308,25","0,0257",otheruise,"LSJ, Middle Liddell, Slater, Autenrieth"
,ποιέω,845,208,"279,35","37587,6","0,0088",make,"LSJ, Middle Liddell, Autenrieth"
,οἷος,258,258,258,"37845,6","0,0077","such as, of what sort,","LSJ, Middle Liddell, Autenrieth"
40,λέγω,2.517,1,"252,33","38097,93","0,0299","to say, speak",Middle Liddell
,λέγω,2.510,0,"249,83","38347,76","0,0311",pick up,"LSJ, Middle Liddell, Slater"
,λέγω,2.504,0,"248,33","38596,1","0,0285",lay,"LSJ, Middle Liddell, Autenrieth"
,ὅστις,1.643,71,"245,67","38841,76","0,0162",that,"LSJ, Middle Liddell, Slater, Autenrieth"
,ὑπό,279,239,"241,5","39083,26","0,0022",úpa,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἐκ,372,196,240,"39323,26","0,0027","from out of,","LSJ, Middle Liddell, Slater, Autenrieth"
,οὐδείς,239,239,239,"39562,26","0,0037",not one,"LSJ, Middle Liddell, Slater, Autenrieth"
,δέω,4.852,12,239,"39801,26","0,0333","lack, miss, stand in need of,","LSJ, Middle Liddell"
,ἄν,3.740,1,"235,14","40036,41","0,0313","he came,","LSJ, Middle Liddell, Slater, Autenrieth"
,ἀνά,3.756,0,"233,57","40269,98","0,0333",on board,"LSJ, Middle Liddell, Slater, Autenrieth"
50,ἄν,3.735,0,"233,14","40503,12","0,0331",,"LSJ, Middle Liddell, Autenrieth"
,εἶμι,4.217,0,"230,94","40734,06","0,0268",ibo,"LSJ, Slater, Autenrieth"
,εἶμι,4.217,0,"230,94",40965,"0,0268",to go,Middle Liddell
,ἐκεῖνος,373,187,"229,15","41194,15","0,0037","the person there, that person","LSJ, Middle Liddell, Autenrieth"
,δέω,4.804,2,"224,5","41418,65","0,033","bind, tie, fetter,","LSJ, Middle Liddell, Slater, Autenrieth"
,ἐάω,832,21,"221,83","41640,48","0,0159","suffer, permit","LSJ, Middle Liddell, Slater, Autenrieth"
,ὥσπερ,212,212,212,"41852,48","0,0062","like as, even as,","LSJ, Middle Liddell, Slater, Autenrieth"
,μής,3.466,0,"211,5","42063,98","0,0221",[unavailable],LSJ
,δεῖ,4.690,0,"210,33","42274,31","0,0439",there is need,"LSJ, Middle Liddell, Slater, Autenrieth"
,δοκέω,1.004,48,"199,59","42473,9","0,0161",expect,"LSJ, Middle Liddell, Slater, Autenrieth"
60,δίκαιος,355,152,199,"42672,9","0,0191",observant of custom,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἕκαστος,195,195,195,"42867,9","0,009","each,","LSJ, Middle Liddell, Slater, Autenrieth"
,ἄρχω,492,127,"193,5","43061,4","0,0134","to be first,","LSJ, Middle Liddell, Slater, Autenrieth"
