Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Βίβλος,The book,N-NFS,G976,Matthew 1,1
γενέσεως,of the genealogy,N-GFS,G1078,Matthew 1,2
Ἰησοῦ,of Jesus,N-GMS,G2424,Matthew 1,3
Χριστοῦ,Christ,N-GMS,G5547,Matthew 1,4
υἱοῦ,son,N-GMS,G5207,Matthew 1,5
Δαυὶδ,of David,N-GMS,G1138,Matthew 1,6
Ἀβραάμ,of Abraham,N-GMS,G11,Matthew 1,7
ἐγέννησεν,begat,V-AIA-3S,G1080,Matthew 1,8
τὸν,-,Art-AMS,G3588,Matthew 1,9
Ἰσαάκ,Isaac,N-AMS,G2464,Matthew 1,10
δὲ,then,Conj,G1161,Matthew 1,11
Ἰακώβ,Jacob,N-AMS,G2384,Matthew 1,12
Ἰούδαν,Judah,N-AMS,G2455,Matthew 1,13
καὶ,and,Conj,G2532,Matthew 1,14
ἀδελφοὺς,brothers,N-AMP,G80,Matthew 1,15
αὐτοῦ,of him,PPro-GM3S,G846,Matthew 1,16
Φαρὲς,Perez,N-AMS,G5329,Matthew 1,17
Ζαρὰ,Zerah,N-AMS,G2196,Matthew 1,18
ἐκ,out of,Prep,G1537,Matthew 1,19
Θάμαρ,Tamar,N-GFS,G2283,Matthew 1,20
Ἑσρώμ,Hezron,N-AMS,G2074,Matthew 1,21
Ἀράμ,Ram,N-AMS,G689,Matthew 1,22
Ἀμιναδάβ,Amminadab,N-AMS,G284,Matthew 1,23
Ναασσών,Nahshon,N-AMS,G3476,Matthew 1,24
Σαλμών,Salmon,N-AMS,G4533,Matthew 1,25
Βόες,Boaz,N-AMS,G1003,Matthew 1,26
Ῥαχάβ,Rahab,N-GFS,G4477,Matthew 1,27
Ἰωβὴδ,Obed,N-AMS,G5601,Matthew 1,28
Ῥούθ,Ruth,N-GFS,G4503,Matthew 1,29
Ἰεσσαί,Jesse,N-AMS,G2421,Matthew 1,30
βασιλέα,king,N-AMS,G935,Matthew 1,31
Σολομῶνα,Solomon,N-AMS,G4672,Matthew 1,32
Οὐρίου,of Uriah,N-GMS,G3774,Matthew 1,33
Ῥοβοάμ,Rehoboam,N-AMS,G4497,Matthew 1,34
Ἀβιά,Abijah,N-AMS,G7,Matthew 1,35
Ἀσάφ,Asa,N-AMS,G760,Matthew 1,36
Ἰωσαφάτ,Jehoshaphat,N-AMS,G2498,Matthew 1,37
Ἰωράμ,Joram,N-AMS,G2496,Matthew 1,38
Ὀζίαν,Uzziah,N-AMS,G3604,Matthew 1,39
Ἰωαθάμ,Jotham,N-AMS,G2488,Matthew 1,40
Ἄχαζ,Ahaz,N-AMS,G881,Matthew 1,41
Ἑζεκίαν,Hezekiah,N-AMS,G1478,Matthew 1,42
Μανασσῆ,Manasseh,N-AMS,G3128,Matthew 1,43
Ἀμώς,Amos,N-AMS,G301,Matthew 1,44
Ἰωσίαν,Josiah,N-AMS,G2502,Matthew 1,45
Ἰεχονίαν,Jeconiah,N-AMS,G2423,Matthew 1,46
ἐπὶ,at the time,Prep,G1909,Matthew 1,47
μετοικεσίας,carrying away,N-GFS,G3350,Matthew 1,48
Βαβυλῶνος,to Babylon,N-GFS,G897,Matthew 1,49
Μετὰ,After,Prep,G3326,Matthew 1,50
Σαλαθιήλ,Shealtiel,N-AMS,G4528,Matthew 1,51
Ζοροβαβέλ,Zerubbabel,N-AMS,G2216,Matthew 1,52
Ἀβιούδ,Abiud,N-AMS,G10,Matthew 1,53
Ἐλιακίμ,Eliakim,N-AMS,G1662,Matthew 1,54
Ἀζώρ,Azor,N-AMS,G107,Matthew 1,55
Σαδώκ,Zadok,N-AMS,G4524,Matthew 1,56
Ἀχίμ,Achim,N-AMS,G885,Matthew 1,57
Ἐλιούδ,Eliud,N-AMS,G1664,Matthew 1,58
Ἐλεάζαρ,Eleazar,N-AMS,G1648,Matthew 1,59
Ματθάν,Matthan,N-AMS,G3157,Matthew 1,60
