Lexical Form,"Alternative (e.g., Contracted) Form",Gloss,Part of Speech,Chapter(s)
βαδίζω,,walk; go,ῥῆμα,1
καθίζω,,"sit, set, place",ῥῆμα,"1, 8"
φέρω,,carry,ῥῆμα,1
ὁ ἥλιος,,sun,ὄνομα,1
ὁ χρόνος,,time,ὄνομα,1
αὐτόν,,him; it,ἀντωνυμία,1
ἰσχυρός,,strong,ἐπίθετον,1
χαλεπός,,"difficult; cruel, fierce",ἐπίθετον,1
οἰκέω,οἰκῶ,"live, dwell",ῥῆμα,1
ὁ ἀγρός,,"field, land, countryside",ὄνομα,1
ὁ αὐτουργός,,farmer,ὄνομα,1
γεωργέω,γεωργῶ,"cultivate (earth), till (soil)",ῥῆμα,1
οὖν,,"so, then, therefore; certainly, really",μόριον,1
ὁ κλῆρος,,"farm, lot; allotment",ὄνομα,1
καταδύνω,καταδύω,"go down, sink, (sun) set",ῥῆμα,1
κατατρίβω,,exhaust; wear out/away,ῥῆμα,1
πονέω,πονῶ,work hard; toil,ῥῆμα,1
σκάπτω,,dig,ῥῆμα,1
φιλέω,φιλῶ,"love, like; kiss; enjoy",ῥῆμα,1
φλέγω,,"burn, kindle, inflame; arouse",ῥῆμα,1
ὁ μόσχος,,"calf, young bull",ὄνομα,1
ὁ πόνος,,(hard) work; exercise,ὄνομα,1
ὁ σῖτος,,"grain, bread, food",ὄνομα,1
ἄοκνος,,"resolute, without hesitation",ἐπίθετον,1
ἀπέραντος,,"endless, boundless, vast",ἐπίθετον,1
ἐκβαίνω,,step out; come out,ῥῆμα,2
ἐλαύνω,,drive,ῥῆμα,2
ἐλθέ,,come!,ῥῆμα,2
καθεύδω,,sleep,ῥῆμα,2
καλῶ,,call,ῥῆμα,2
πάρειμι,,"be present, here, there",ῥῆμα,2
σπεύδω,,hurry,ῥῆμα,2
τὸ ἄροτρον,,plow,ὄνομα,2
ὁ δοῦλος,,slave,ὄνομα,2
ἐγώ,,I,ὄνομα,2
ἀργός,,"lazy, idle (also white/bright)",ἐπίθετον,2
μή,,"not, don't",ἐπίρρημα,2
οὕτω(ς),,"so, thus",ἐπίρρημα,2
τί;,,what?,ἐπίρρημα,2
μέν...δέ,,on the one hand...on the other hand,μόριον,2
ἄγω,,lead; take,ῥῆμα,2
βαίνω,,step; walk; go,ῥῆμα,2
βλέπω,,look; see,ῥῆμα,2
λαμβάνω,,take,ῥῆμα,"2, 11"
συλλαμβάνω,,help,ῥῆμα,2
ὁ βοῦς,,ox,ὄνομα,2
τὸ δένδρον,,tree,ὄνομα,2
ὁ δεσπότης,,master,ὄνομα,2
εἰς,,into; to; at,πρόθεσις,2
βραδέως,,slowly,ἐπίρρημα,2
ἔπειτα,,"then, thereafter",ἐπίρρημα,2
ἤδη,,already; now,ἐπίρρημα,2
ἅπτω,,"join, fasten to, bind",ῥῆμα,2
προσάπτω,,"fasten/attach to; bestow upon, grant",ῥῆμα,2
ἀροτρεύω,"ἀρόω, ἀρῶ",plow (the earth/field),ῥῆμα,2
εἰσβαίνω,,enter (go into),ῥῆμα,2
κεντέω,κεντῶ,"prick, goad, stab, torment",ῥῆμα,2
πληθύνω,πληθύω,"increase, multiply",ῥῆμα,2
τὸ κέντρον,,"sharp point; goad, spike; sting",ὄνομα,2
ἡ ῥάβδος,,"rod, staff, stick; shaft",ὄνομα,2
ἡ σκιά,,"shadow, shade",ὄνομα,2
τὸ σπέρμα,,"seed, semen",ὄνομα,2
ἵλεως,ἵλαος,"gracious, merciful; kind, gentle",ἐπίθετον,2
κατάρατος,,"accursed, abominable",ἐπίθετον,2
ἕωθεν,,early in the morning,ἐπίρρημα,2
μένω,,stay; wait; wait for,ῥῆμα,3
πίπτω,,fall,ῥῆμα,3
προσχωρέω,προσχωρῶ,"go toward, approach (+dat)",ῥῆμα,3
φησί(ν),,(s)he says,ῥῆμα,3
ὁ λίθος,,stone,ὄνομα,3
αὐτό,,it,ἀντωνυμία,3
αἴτιος,,responsible (for); to blame,ἐπίθετον,3
μέγας,,"big, large; great",ἐπίθετον,3
ἐκ,,out of (+gen),πρόθεσις,3
αὖθις,,again,ἐπίρρημα,3
δεῦρο,,"here, hither",ἐπίρρημα,3
ἔτι,,still,ἐπίρρημα,3
οὐκέτι,,no longer,ἐπίρρημα,3
τε...καί,,both...and,μόριον,3
λείπω,,leave,ῥῆμα,"3, 11"
λύω,,"loosen, loose",ῥῆμα,3
τὸ δεῖπνον,,dinner,ὄνομα,3
ὁ/ἡ παῖς,,child,ὄνομα,3
ὁ πατήρ,,father,ὄνομα,3
σύ,,you,ἀντωνυμία,3
ἀνδρεῖος,,brave,ἐπίθετον,3
πολλοί,,many (masc.),ἐπίθετον,3
τοσοῦτος,,so great; so many,ἐπίθετον,3
ἐν,,in; on,πρόθεσις,3
μηκέτι,,any longer,ἐπίρρημα,3
ἐπεί,,when; since,σύνδεσμος,3
δρέπω,,"pick, pluck",ῥῆμα,3
ἐκφέρω,,bring/carry out,ῥῆμα,3
ἐμποδίζω,,"hinder, thwart, prevent",ῥῆμα,3
ἐξετάζω,,"examine, question; estimate",ῥῆμα,3
θεραπεύω,,"attend, serve, heal",ῥῆμα,3
καταβάλλω,,"drop, (over)throw; reject; slay",ῥῆμα,3
κατασείω,,shake/throw down,ῥῆμα,3
ὀλισθάνω,,"slip (and fall), slide",ῥῆμα,3
πταίω,,"stumble, trip, fall",ῥῆμα,3
ῥᾳδιουργέω,ῥᾳδιουργῶ,do easily/lazily; misbehave,ῥῆμα,3
σπείρω,,sow,ῥῆμα,3
φλυαρέω,φλυαρῶ,babble; play the fool,ῥῆμα,3
φυτεύω,,"plant; beget; produce, cause",ῥῆμα,3
ἡ ἄμπελος,,(grape)vine; vineyard,ὄνομα,"3, 30"
ὁ ἄροτος,,crop; plowing; season,ὄνομα,3
ὁ γεωργός,,farmer,ὄνομα,3
ἡ ἐλαία,,olive (tree),ὄνομα,3
τὸ ἔλαιον,,olive oil,ὄνομα,3
ὁ σάκκος,,sack(cloth),ὄνομα,3
ἀκίνητος,,"unmoved, motionless, idle",ἐπίθετον,3
σκαιός,,left (side); west; unlucky; clumsy; stupid,ἐπίθετον,3
μαστιγίας,μαστιγίης,worthless slave; sorry knave,ὄνομα,3
ἀκούω,,listen (to); hear (person +gen / thing +acc),ὄνομα,4
ἐθέλω,,be willing; wish,ὄνομα,4
ἔχω,,have;hold,ὄνομα,4
θεωρέω,θεωρῶ,watch; see,ὄνομα,4
ποιέω,ποιῶ,make; do,ὄνομα,4
χαίρω,,rejoice,ὄνομα,4
χαῖρε(τε),,greetings!,ὄνομα,4
ὁ ἄγγελος,,messenger,ὄνομα,4
ὁ ἀνήρ,,man; husband,ὄνομα,4
ἡ γυνή,,woman; wife,ὄνομα,4
ἡ ἑορτή,,festival,ὄνομα,4
ἡ θυγάτηρ,,daughter,ὄνομα,4
ὁ καιρός,,time; right time,ὄνομα,4
ἡ κρήνη,,spring,ὄνομα,4
ἡ ὑδρία,,water jar,ὄνομα,4
ὁ χορός,,dance; chorus,ὄνομα,4
ἀπό,,from (+gen),ὄνομα,4
πρός,,"at, near, by (+dat); to, toward; against (+acc)",ὄνομα,4
ἰδού,,look!,ὄνομα,4
μάλα,,very,ἐπίρρημα,4
μόλις,,with difficulty; scarcely; reluctantly,ὄνομα,4
ταχέως,,"quickly, swiftly",ἐπίρρημα,4
ἐν νῷ ἔχω,,have in mind; intend,λόγος,4
πείθω,,persuade,ῥῆμα,4
